Date,Open,High,Low,Close
20200901,5449.82,5497.32,5449.82,5497.32
20200902,5516.17,5522.01,5450.51,5505.74
20200903,5503.94,5530.11,5459.93,5469.79
20200904,5376.96,5429.21,5376.96,5421.34
20200907,5414.05,5447.77,5294.24,5307.01
20200908,5323.44,5345.4,5279.84,5336.6
20200909,5268.0,5273.05,5178.55,5199.37
20200910,5249.68,5257.06,5162.54,5173.56
20200911,5160.6,5239.84,5160.6,5237.35
20200914,5269.29,5298.15,5248.89,5277.35
20200915,5278.36,5325.81,5262.82,5323.0
20200916,5316.24,5316.24,5265.37,5282.26
20200917,5267.22,5298.92,5231.52,5267.81
20200918,5273.4,5367.5,5270.48,5367.5
20200921,5378.31,5378.31,5318.05,5321.31
20200922,5280.08,5318.31,5247.87,5253.9
20200923,5261.94,5293.36,5249.77,5281.51
20200924,5245.57,5245.57,5168.3,5168.3
20200925,5191.98,5203.53,5153.19,5168.06
20200928,5184.79,5205.85,5159.71,5167.09
20200929,5196.23,5215.13,5179.71,5194.42
20200930,5212.61,5245.11,5171.6,5195.33
20201009,5290.33,5339.04,5290.33,5324.93
20201012,5357.82,5486.06,5357.82,5486.06
20201013,5478.97,5511.03,5458.19,5504.18
20201014,5495.72,5495.72,5462.49,5471.94
20201015,5476.35,5483.75,5453.18,5453.18
20201016,5452.89,5469.22,5406.65,5435.46
20201019,5473.12,5489.78,5384.24,5394.39
20201020,5392.6,5449.03,5385.87,5449.03
20201021,5457.08,5457.08,5395.42,5424.73
20201022,5408.69,5408.69,5346.42,5401.81
20201023,5402.2,5425.9,5322.92,5326.09
20201026,5292.94,5333.39,5261.13,5321.13
20201027,5307.72,5339.68,5300.08,5330.24
20201028,5331.78,5387.64,5311.31,5374.1
20201029,5311.06,5435.76,5311.06,5409.42
20201030,5419.26,5419.26,5322.51,5326.33
20201102,5336.6,5379.53,5326.45,5367.02
20201103,5392.93,5444.91,5392.93,5433.06
20201104,5438.22,5473.6,5429.02,5471.58
20201105,5526.66,5557.56,5507.66,5557.56
20201106,5573.7,5573.7,5507.74,5546.89
20201109,5586.27,5675.31,5586.27,5659.17
20201110,5671.27,5671.27,5603.87,5620.69
20201111,5603.28,5612.4,5548.95,5548.95
20201112,5568.58,5577.49,5544.26,5562.48
20201113,5543.72,5543.72,5487.11,5522.1
20201116,5547.08,5572.11,5510.61,5572.11
20201117,5571.38,5571.38,5509.46,5541.17
20201118,5535.63,5558.88,5508.65,5532.72
20201119,5521.89,5571.54,5513.99,5566.21
20201120,5567.85,5599.62,5567.85,5598.92
20201123,5616.15,5679.27,5610.99,5661.67
20201124,5657.65,5657.65,5626.73,5636.44
20201125,5653.44,5656.66,5554.24,5554.24
20201126,5552.34,5564.84,5504.2,5554.53
20201127,5565.68,5603.62,5543.29,5603.62
20201130,5614.32,5664.37,5582.73,5582.73
20201201,5585.51,5699.66,5585.51,5696.53
20201202,5703.61,5705.14,5672.32,5694.8
20201203,5693.86,5693.86,5665.1,5683.71
20201204,5677.88,5710.02,5658.86,5709.03
20201207,5712.26,5712.26,5664.83,5673.18
20201208,5681.31,5692.96,5656.41,5665.39
20201209,5678.38,5678.38,5585.43,5586.11
20201210,5572.77,5611.36,5556.8,5588.71
20201211,5609.52,5609.52,5479.28,5524.98
20201214,5537.91,5580.98,5523.43,5578.26
20201215,5576.25,5608.67,5558.22,5602.61
20201216,5615.66,5623.29,5592.99,5610.84
20201217,5617.39,5680.9,5609.78,5676.68
20201218,5676.71,5685.18,5646.25,5662.23
20201221,5663.71,5741.24,5648.23,5741.24
20201222,5725.52,5745.48,5641.48,5643.71
20201223,5656.34,5719.34,5656.34,5696.6
20201224,5695.98,5716.69,5655.97,5675.97
20201225,5659.74,5728.04,5658.49,5728.04
20201228,5731.71,5766.83,5716.0,5739.37
20201229,5745.19,5746.01,5708.6,5710.8
20201230,5711.27,5804.12,5711.27,5804.12
20201231,5814.86,5911.5,5814.86,5910.32
20210104,5917.31,6020.26,5917.31,6008.25
20210105,5981.41,6104.18,5981.41,6104.18
20210106,6125.57,6162.23,6071.77,6152.6
20210107,6159.41,6250.9,6152.86,6250.9
20210108,6268.62,6268.62,6192.27,6244.36
20210111,6254.27,6297.46,6152.24,6183.55
20210112,6160.57,6342.78,6160.57,6342.78
20210113,6357.15,6387.41,6271.07,6316.86
20210114,6288.34,6288.34,6195.79,6200.97
20210115,6199.84,6225.13,6115.34,6193.47
20210118,6171.17,6286.0,6168.19,6271.03
20210119,6276.29,6277.79,6149.33,6172.69
20210120,6180.97,6251.57,6180.97,6236.96
20210121,6256.51,6367.66,6256.51,6338.65
20210122,6335.68,6371.67,6293.24,6367.4
20210125,6363.06,6465.69,6343.54,6417.91
20210126,6386.64,6386.64,6277.77,6279.3
20210127,6277.3,6308.9,6217.62,6300.5
20210128,6207.39,6227.22,6105.63,6118.35
20210129,6163.02,6173.85,6007.74,6078.87
20210201,6083.29,6158.16,6083.29,6155.65
20210202,6170.53,6253.18,6141.74,6250.85
20210203,6255.77,6288.96,6227.38,6228.09
20210204,6198.16,6252.02,6144.96,6213.22
20210205,6238.31,6274.4,6189.45,6192.76
20210208,6218.28,6309.19,6201.81,6305.53
20210209,6330.98,6444.83,6317.16,6444.83
20210210,6473.68,6590.55,6473.68,6577.13
20210218,6712.15,6712.15,6527.5,6545.17
20210219,6506.6,6564.02,6433.26,6558.11
20210222,6570.9,6570.9,6373.41,6373.41
20210223,6314.29,6416.42,6314.29,6350.44
20210224,6364.36,6364.36,6146.36,6188.31
20210225,6259.28,6271.53,6191.3,6208.01
20210226,6062.05,6139.32,6045.66,6059.9
20210301,6122.91,6178.88,6092.48,6175.4
20210302,6216.91,6216.91,6047.78,6100.19
20210303,6077.24,6208.99,6075.13,6208.99
20210304,6138.32,6138.32,5999.26,6015.65
20210305,5912.72,6026.47,5907.97,5988.56
20210308,6032.27,6046.73,5780.11,5780.11
20210309,5761.83,5790.85,5585.07,5655.17
20210310,5747.46,5747.46,5673.22,5688.28
20210311,5711.23,5841.69,5707.13,5833.9
20210312,5866.63,5866.63,5791.53,5852.4
20210315,5819.98,5819.98,5682.24,5728.33
20210316,5749.22,5778.9,5706.06,5775.38
20210317,5755.79,5817.21,5707.78,5803.25
20210318,5819.61,5860.09,5819.61,5852.63
20210319,5763.52,5787.67,5670.68,5699.52
20210322,5703.01,5771.17,5697.5,5754.95
20210323,5754.82,5754.82,5646.62,5686.2
20210324,5657.76,5697.26,5580.05,5586.29
20210325,5558.1,5613.19,5547.42,5592.3
20210326,5621.77,5740.02,5621.77,5725.55
20210329,5744.18,5770.83,5705.24,5734.19
20210330,5728.72,5799.3,5728.72,5791.66
20210331,5784.17,5784.17,5711.99,5747.41
20210401,5760.86,5826.97,5760.86,5823.45
20210402,5842.03,5885.72,5829.75,5874.1
20210406,5893.14,5893.14,5835.41,5852.78
20210407,5859.58,5859.58,5768.15,5819.23
20210408,5792.94,5847.74,5792.94,5828.24
20210409,5818.46,5818.46,5735.26,5747.94
20210412,5740.91,5755.0,5631.33,5644.62
20210413,5645.59,5695.9,5621.09,5637.59
20210414,5648.99,5707.19,5648.99,5701.81
20210415,5687.16,5687.16,5613.63,5666.88
20210416,5685.85,5700.64,5636.18,5689.23
20210419,5689.35,5833.29,5689.35,5832.82
20210420,5808.78,5862.51,5808.78,5825.43
20210421,5789.27,5838.01,5781.29,5832.46
20210422,5853.3,5853.3,5808.7,5830.75
20210423,5830.25,5898.71,5830.25,5889.83
20210426,5916.36,5949.9,5827.99,5830.56
20210427,5827.71,5843.93,5789.05,5842.14
20210428,5824.66,5879.91,5813.5,5879.91
20210429,5891.77,5926.85,5873.04,5922.54
20210430,5915.74,5937.87,5871.12,5897.59
20210506,5875.18,5895.95,5798.49,5833.79
20210507,5851.46,5863.97,5755.95,5755.95
20210510,5768.02,5791.21,5721.41,5764.59
20210511,5720.75,5792.46,5678.21,5779.37
20210512,5758.76,5812.12,5758.76,5807.62
20210513,5744.8,5775.98,5721.04,5736.59
20210514,5754.04,5853.67,5728.46,5853.31
20210517,5864.05,5965.24,5864.05,5947.21
20210518,5953.46,5953.46,5921.09,5950.54
20210519,5933.6,5955.09,5921.41,5941.54
20210520,5930.14,5956.71,5920.19,5941.72
20210521,5959.89,5974.97,5888.53,5895.27
20210524,5898.2,5919.95,5858.47,5919.95
20210525,5931.89,6089.63,5931.89,6087.65
20210526,6095.66,6104.88,6074.27,6088.82
